PictureType,file_name,Condition
DogAggressive,Dogs_80_HighAr_74-98_da1.PNG,Test
DogAggressive,Dogs_80_HighAr_69-11_da10.PNG,Test
DogAggressive,Dogs_80_HighAr_76-36_da12.PNG,Test
DogAggressive,Dogs_80_HighAr_64-55_da13.PNG,Test
DogAggressive,Dogs_80_HighAr_87-69_da14.PNG,Test
DogAggressive,Dogs_80_HighAr_73-59_da2.PNG,Test
DogAggressive,Dogs_80_HighAr_100_da3.PNG,Test
DogAggressive,Dogs_80_HighAr_76-45_da4.PNG,Test
DogAggressive,Dogs_80_HighAr_79-30_da5.PNG,Test
DogAggressive,Dogs_80_HighAr_88-43_da6.PNG,Test
DogAggressive,Dogs_80_HighAr_80-20_da8.PNG,Test
DogAggressive,Dogs_80_HighAr_69-36_da9.PNG,Test
DogNeutral,Dogs_60_LowAr_7-74_dn1.PNG,Test
DogNeutral,Dogs_60_LowAr_10-84_dn12.PNG,Test
DogNeutral,Dogs_60_LowAr_9-94_dn13.PNG,Test
DogNeutral,Dogs_60_LowAr_11-41_dn15.PNG,Test
DogNeutral,Dogs_60_LowAr_18-50_dn2.PNG,Test
DogNeutral,Dogs_60_LowAr_17-20_dn3.PNG,Test
DogNeutral,Dogs_60_LowAr_14-1_dn4.PNG,Test
DogNeutral,Dogs_60_LowAr_10-11_dn5.PNG,Test
DogNeutral,Dogs_60_LowAr_37-41_dn6.PNG,Test
DogNeutral,Dogs_60_LowAr_11-00_dn7.PNG,Test
DogNeutral,Dogs_60_LowAr_21-35_dn8.PNG,Test
DogNeutral,Dogs_60_LowAr_19-97_dn9.PNG,Test
Horse,Horses_NA_UnkA_NA_1_Horse_Pixaby_165106.PNG,Familiarity
Horse,Horses_NA_UnkA_NA_2_Horse_Pixaby_Khamkhor.PNG,Familiarity
